	<yagoTheme_infoboxTermsToBeRedirected_en>	<hasGloss>	"Test The attribute facts of the Wikipedia infoboxes, split into terms, still to be redirected. INTERNAL"
	<Pere_López_Agràs>	<infobox/en/termend>	"2011"^^xsd:integer
	<Pere_López_Agràs>	<infobox/en/termend>	"12 May 2011"
	<Pere_López_Agràs>	<infobox/en/termend>	"2011-05-12"^^xsd:date
	<Pere_López_Agràs>	<infobox/en/termstart>	"28"^^xsd:integer
	<Pere_López_Agràs>	<infobox/en/termstart>	"2011"^^xsd:integer
	<Pere_López_Agràs>	<infobox/en/termstart>	"28 April 2011"
	<Pere_López_Agràs>	<infobox/en/termstart>	"2011-04-28"^^xsd:date
	<Philippe_Massoni>	<infobox/en/birthdate>	"1936"^^xsd:integer
	<Philippe_Massoni>	<infobox/en/birthdate>	"1936"
	<Philippe_Massoni>	<infobox/en/birthdate>	"1936-##-##"^^xsd:date
	<Philippe_Massoni>	<infobox/en/monarch>	<Jacques_Chirac>
	<Philippe_Massoni>	<infobox/en/monarch>	<Nicolas_Sarkozy>
	<Philippe_Massoni>	<infobox/en/monarch>	"Jacques Chirac"
	<Philippe_Massoni>	<infobox/en/monarch>	"Nicolas Sarkozy"
	<Philippe_Massoni>	<infobox/en/name>	<Philippe_Massoni>
	<Philippe_Massoni>	<infobox/en/name>	"Philippe Massoni"
	<Philippe_Massoni>	<infobox/en/order>	<List_of_Co-Princes_of_Andorra>
	<Philippe_Massoni>	<infobox/en/order>	"French Representative to Andorra"
	<Philippe_Massoni>	<infobox/en/predecessor>	<Frédéric_de_Saint-Sernin>
	<Philippe_Massoni>	<infobox/en/predecessor>	"Frédéric de Saint-Sernin"
	<Philippe_Massoni>	<infobox/en/primeminister>	<Marc_Forné_Molné>
	<Philippe_Massoni>	<infobox/en/primeminister>	<Albert_Pintat>
	<Philippe_Massoni>	<infobox/en/primeminister>	"Marc Forné Molné"
	<Philippe_Massoni>	<infobox/en/primeminister>	"Albert Pintat"
	<Philippe_Massoni>	<infobox/en/successor>	<Emmanuelle_Mignon>
	<Philippe_Massoni>	<infobox/en/successor>	"Emmanuelle Mignon"
	<Philippe_Massoni>	<infobox/en/termend>	"6"^^xsd:integer
	<Philippe_Massoni>	<infobox/en/termend>	"2007"^^xsd:integer
	<Philippe_Massoni>	<infobox/en/termend>	"6 June 2007"
	<Philippe_Massoni>	<infobox/en/termend>	"2007-06-06"^^xsd:date
	<Philippe_Massoni>	<infobox/en/termstart>	"26"^^xsd:integer
	<Philippe_Massoni>	<infobox/en/termstart>	"2002"^^xsd:integer
	<Philippe_Massoni>	<infobox/en/termstart>	"26 July 2002"
	<Philippe_Massoni>	<infobox/en/termstart>	"2002-07-26"^^xsd:date
	<Rally_for_the_Republic>	<infobox/en/colorcode>	<wordnet_blue_104968895>
	<Rally_for_the_Republic>	<infobox/en/colorcode>	"blue"
	<Rally_for_the_Republic>	<infobox/en/colours>	<Blue_and_red>
	<Rally_for_the_Republic>	<infobox/en/colours>	"Blue and red"
	<Rally_for_the_Republic>	<infobox/en/country>	"France"
	<Rally_for_the_Republic>	<infobox/en/dissolution>	"2002"^^xsd:integer
	<Rally_for_the_Republic>	<infobox/en/dissolution>	"2002-##-##"^^xsd:date
	<Rally_for_the_Republic>	<infobox/en/europarl>	<European_Progressive_Democrats>
	<Rally_for_the_Republic>	<infobox/en/europarl>	<European_Democratic_Alliance>
	<Rally_for_the_Republic>	<infobox/en/europarl>	<Union_for_Europe>
	<Rally_for_the_Republic>	<infobox/en/europarl>	<European_People's_Party_(European_Parliament_group)>
	<Rally_for_the_Republic>	<infobox/en/europarl>	"1976"^^xsd:integer
	<Rally_for_the_Republic>	<infobox/en/europarl>	"1984"^^xsd:integer
	<Rally_for_the_Republic>	<infobox/en/europarl>	"1995"^^xsd:integer
	<Rally_for_the_Republic>	<infobox/en/europarl>	"1999"^^xsd:integer
	<Rally_for_the_Republic>	<infobox/en/europarl>	"2002"^^xsd:integer
	<Rally_for_the_Republic>	<infobox/en/europarl>	"EPD"
	<Rally_for_the_Republic>	<infobox/en/europarl>	"EDA"
	<Rally_for_the_Republic>	<infobox/en/europarl>	"UFE"
	<Rally_for_the_Republic>	<infobox/en/europarl>	"EPP-ED"
	<Rally_for_the_Republic>	<infobox/en/europarl>	"1976-##-##"^^xsd:date
	<Rally_for_the_Republic>	<infobox/en/europarl>	"1984-##-##"^^xsd:date
	<Rally_for_the_Republic>	<infobox/en/europarl>	"1995-##-##"^^xsd:date
	<Rally_for_the_Republic>	<infobox/en/europarl>	"1999-##-##"^^xsd:date
	<Rally_for_the_Republic>	<infobox/en/europarl>	"2002-##-##"^^xsd:date
	<Rally_for_the_Republic>	<infobox/en/european>	<European_People's_Party>
	<Rally_for_the_Republic>	<infobox/en/european>	"1999"^^xsd:integer
	<Rally_for_the_Republic>	<infobox/en/european>	"2002"^^xsd:integer
	<Rally_for_the_Republic>	<infobox/en/european>	"European People's Party"
	<Rally_for_the_Republic>	<infobox/en/european>	"1999-##-##"^^xsd:date
	<Rally_for_the_Republic>	<infobox/en/european>	"2002-##-##"^^xsd:date
	<Rally_for_the_Republic>	<infobox/en/foundation>	"1976"^^xsd:integer
	<Rally_for_the_Republic>	<infobox/en/foundation>	"1976-##-##"^^xsd:date
	<Rally_for_the_Republic>	<infobox/en/founder>	<Jacques_Chirac>
	<Rally_for_the_Republic>	<infobox/en/founder>	"Jacques Chirac"
	<Rally_for_the_Republic>	<infobox/en/ideology>	<wordnet_conservatism_106216160>
	<Rally_for_the_Republic>	<infobox/en/ideology>	<Gaullism>
	<Rally_for_the_Republic>	<infobox/en/ideology>	<Conservatism>
	<Rally_for_the_Republic>	<infobox/en/ideology>	"Gaullism"
	<Rally_for_the_Republic>	<infobox/en/ideology>	"Conservatism"
	<Rally_for_the_Republic>	<infobox/en/international>	<International_Democrat_Union>
	<Rally_for_the_Republic>	<infobox/en/international>	"International Democrat Union"
	<Rally_for_the_Republic>	<infobox/en/merged>	<Union_for_a_Popular_Movement>
	<Rally_for_the_Republic>	<infobox/en/merged>	"UMP"
	<Rally_for_the_Republic>	<infobox/en/nativename>	<Rassemblement_pour_la_République>
	<Rally_for_the_Republic>	<infobox/en/nativename>	"Rassemblement pour la République"
	<Rally_for_the_Republic>	<infobox/en/partyname>	<Rally_for_the_Republic>
	<Rally_for_the_Republic>	<infobox/en/partyname>	"Rally for the Republic"
	<Rally_for_the_Republic>	<infobox/en/predecessor>	<Union_of_Democrats_for_the_Republic>
	<Rally_for_the_Republic>	<infobox/en/predecessor>	"UDR"
	<Rally_for_the_Republic>	<infobox/en/president>	<Michèle_Alliot-Marie>
	<Rally_for_the_Republic>	<infobox/en/president>	"Michèle Alliot-Marie"
	<Union_for_a_Popular_Movement>	<infobox/en/colorcode>	"66"^^xsd:integer
	<Union_for_a_Popular_Movement>	<infobox/en/colours>	<wordnet_blue_104968895>
	<Union_for_a_Popular_Movement>	<infobox/en/country>	"France"
	<Union_for_a_Popular_Movement>	<infobox/en/europarl>	<European_People's_Party_(European_Parliament_group)>
	<Union_for_a_Popular_Movement>	<infobox/en/europarl>	"European People's Party"
	<Union_for_a_Popular_Movement>	<infobox/en/european>	<European_People's_Party>
	<Union_for_a_Popular_Movement>	<infobox/en/european>	"European People's Party"
	<Union_for_a_Popular_Movement>	<infobox/en/foundation>	"17"^^xsd:integer
	<Union_for_a_Popular_Movement>	<infobox/en/foundation>	"2002"^^xsd:integer
	<Union_for_a_Popular_Movement>	<infobox/en/foundation>	"17 November 2002"
	<Union_for_a_Popular_Movement>	<infobox/en/foundation>	"2002-11-17"^^xsd:date
	<Union_for_a_Popular_Movement>	<infobox/en/headquarters>	"55"^^xsd:integer
	<Union_for_a_Popular_Movement>	<infobox/en/headquarters>	"75384"^^xsd:integer
	<Union_for_a_Popular_Movement>	<infobox/en/headquarters>	"8"^^xsd:integer
	<Union_for_a_Popular_Movement>	<infobox/en/headquarters>	"75384 Paris Cedex 08"
	<Union_for_a_Popular_Movement>	<infobox/en/ideology>	<wordnet_conservatism_106216160>
	<Union_for_a_Popular_Movement>	<infobox/en/ideology>	<Gaullism>
	<Union_for_a_Popular_Movement>	<infobox/en/ideology>	<Conservatism>
	<Union_for_a_Popular_Movement>	<infobox/en/ideology>	<Liberal_conservatism>
	<Union_for_a_Popular_Movement>	<infobox/en/ideology>	<Christian_democracy>
	<Union_for_a_Popular_Movement>	<infobox/en/ideology>	"Gaullism"
	<Union_for_a_Popular_Movement>	<infobox/en/ideology>	"Conservatism"
	<Union_for_a_Popular_Movement>	<infobox/en/ideology>	"Liberal conservatism"
	<Union_for_a_Popular_Movement>	<infobox/en/ideology>	"Christian democracy"
	<Union_for_a_Popular_Movement>	<infobox/en/international>	<Centrist_Democrat_International>
	<Union_for_a_Popular_Movement>	<infobox/en/international>	<International_Democrat_Union>
	<Union_for_a_Popular_Movement>	<infobox/en/international>	"Centrist Democrat International"
	<Union_for_a_Popular_Movement>	<infobox/en/international>	"International Democrat Union"
	<Union_for_a_Popular_Movement>	<infobox/en/leader>	<Nicolas_Sarkozy>
	<Union_for_a_Popular_Movement>	<infobox/en/leader>	"Nicolas Sarkozy"
	<Union_for_a_Popular_Movement>	<infobox/en/leadername>	"vacant"
	<Union_for_a_Popular_Movement>	<infobox/en/leadername>	<Jean-François_Copé>
	<Union_for_a_Popular_Movement>	<infobox/en/leadername>	"Jean-François Copé"
	<Union_for_a_Popular_Movement>	<infobox/en/leadertitle>	<wordnet_president_110468559>
	<Union_for_a_Popular_Movement>	<infobox/en/leadertitle>	"President"
	<Union_for_a_Popular_Movement>	<infobox/en/nativename>	<Union_pour_un_Mouvement_Populaire>
	<Union_for_a_Popular_Movement>	<infobox/en/nativename>	"Union pour un Mouvement Populaire"
	<Union_for_a_Popular_Movement>	<infobox/en/partyname>	<Union_for_a_Popular_Movement>
	<Union_for_a_Popular_Movement>	<infobox/en/partyname>	"Union for a Popular Movement"
	<Union_for_a_Popular_Movement>	<infobox/en/position>	<Centre-right>
	<Union_for_a_Popular_Movement>	<infobox/en/position>	"Centre-right"
	<Union_for_a_Popular_Movement>	<infobox/en/seats>	"132"^^xsd:integer
	<Union_for_a_Popular_Movement>	<infobox/en/seats>	"348"^^xsd:integer
	<Union_for_a_Popular_Movement>	<infobox/en/seats>	"66"^^xsd:integer
	<Union_for_a_Popular_Movement>	<infobox/en/seats>	"132-##-##"^^xsd:date
	<Union_for_a_Popular_Movement>	<infobox/en/seats>	"348-##-##"^^xsd:date
	<Union_for_a_Popular_Movement>	<infobox/en/seats>	"22"^^xsd:integer
	<Union_for_a_Popular_Movement>	<infobox/en/seats>	"74"^^xsd:integer
	<Union_for_a_Popular_Movement>	<infobox/en/seats>	"66"^^xsd:integer
	<Union_for_a_Popular_Movement>	<infobox/en/seats>	"313"^^xsd:integer
	<Union_for_a_Popular_Movement>	<infobox/en/seats>	"577"^^xsd:integer
	<Union_for_a_Popular_Movement>	<infobox/en/seats>	"66"^^xsd:integer
	<Union_for_a_Popular_Movement>	<infobox/en/seats>	"313-##-##"^^xsd:date
	<Union_for_a_Popular_Movement>	<infobox/en/seats>	"577-##-##"^^xsd:date
	<Union_for_a_Popular_Movement>	<infobox/en/seats>	"331"^^xsd:integer
	<Union_for_a_Popular_Movement>	<infobox/en/seats>	"1880"^^xsd:integer
	<Union_for_a_Popular_Movement>	<infobox/en/seats>	"66"^^xsd:integer
	<Union_for_a_Popular_Movement>	<infobox/en/seats>	"331-##-##"^^xsd:date
	<Union_for_a_Popular_Movement>	<infobox/en/seats>	"1880-##-##"^^xsd:date
	<Union_for_a_Popular_Movement>	<infobox/en/seatstitle>	<European_Parliament>
	<Union_for_a_Popular_Movement>	<infobox/en/seatstitle>	"European Parliament"
	<Union_for_a_Popular_Movement>	<infobox/en/seatstitle>	<National_Assembly_of_France>
	<Union_for_a_Popular_Movement>	<infobox/en/seatstitle>	"National Assembly"
	<Union_for_a_Popular_Movement>	<infobox/en/seatstitle>	<Regional_councils_of_France>
	<Union_for_a_Popular_Movement>	<infobox/en/seatstitle>	"Regional Councils"
	<Union_for_a_Popular_Movement>	<infobox/en/seatstitle>	<Senate_of_France>
	<Union_for_a_Popular_Movement>	<infobox/en/seatstitle>	"Senate"
	<Union_for_a_Popular_Movement>	<infobox/en/website>	<http://www.lemouvementpopulaire.fr>
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/almamater>	<Complutense_University_of_Madrid>
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/almamater>	"Complutense University of Madrid"
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/birthdate>	"1951"^^xsd:integer
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/birthdate>	"7"^^xsd:integer
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/birthdate>	"28"^^xsd:integer
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/birthdate>	"1951-07-28"^^xsd:date
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/birthplace>	<Solares>
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/birthplace>	<Trasmiera>
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/birthplace>	<Spain>
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/birthplace>	"Solares"
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/birthplace>	"Medio Cudeyo"
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/birthplace>	"Spain"
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/image>	"2010"^^xsd:integer
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/image>	"2010-##-##"^^xsd:date
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/name>	<Alfredo_Pérez_Rubalcaba>
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/name>	"Alfredo Pérez Rubalcaba"
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/office>	<Minister_of_the_Presidency>
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/office>	"Minister of the Presidency"
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/office>	<First_Vice_President_of_the_Government_(Spain)>
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/office>	"First Deputy Prime Minister of Spain"
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/office>	<Leader_of_the_Opposition_(Spain)>
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/office>	"Leader of the Opposition"
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/office>	<Ministry_of_Education_(Spain)>
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/office>	"Minister of Education and Science"
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/office>	<Ministry_of_the_Interior_(Spain)>
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/office>	"Minister of the Interior"
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/party>	<Spanish_Socialist_Workers'_Party>
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/party>	"Spanish Socialist Workers' Party"
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/predecessor>	<Javier_Solana>
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/predecessor>	"Javier Solana"
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/predecessor>	<José_Antonio_Alonso>
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/predecessor>	"José Antonio Alonso"
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/predecessor>	<Mariano_Rajoy>
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/predecessor>	"Mariano Rajoy"
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/predecessor>	<María_Teresa_Fernández_de_la_Vega>
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/predecessor>	"María Teresa Fernández de la Vega"
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/predecessor>	<Virgilio_Zapatero_Gómez>
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/predecessor>	"Virgilio Zapatero Gómez"
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/primeminister>	<Felipe_González>
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/primeminister>	"Felipe González"
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/primeminister>	<José_Luis_Rodríguez_Zapatero>
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/primeminister>	"José Luis Rodríguez Zapatero"
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/primeminister>	<Mariano_Rajoy>
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/primeminister>	"Mariano Rajoy"
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/profession>	<wordnet_chemist_109913824>
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/profession>	<Chemist>
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/profession>	"Chemist"
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/spouse>	<Pilar_Goya>
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/spouse>	"Pilar Goya"
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/successor>	<Antonio_Camacho_Vizcaino>
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/successor>	"Antonio Camacho Vizcaino"
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/successor>	<Elena_Salgado>
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/successor>	"Elena Salgado"
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/successor>	<Francisco_Álvarez_Cascos>
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/successor>	"Francisco Álvarez Cascos"
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/successor>	<Gustavo_Suárez_Pertierra>
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/successor>	"Gustavo Suárez Pertierra"
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/termend>	"11"^^xsd:integer
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/termend>	"2011"^^xsd:integer
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/termend>	"11 July 2011"
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/termend>	"2011-07-11"^^xsd:date
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/termend>	"12"^^xsd:integer
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/termend>	"1993"^^xsd:integer
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/termend>	"12 July 1993"
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/termend>	"1993-07-12"^^xsd:date
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/termend>	"4"^^xsd:integer
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/termend>	"1996"^^xsd:integer
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/termend>	"4 May 1996"
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/termend>	"1996-05-04"^^xsd:date
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/termstart>	"11"^^xsd:integer
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/termstart>	"2006"^^xsd:integer
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/termstart>	"11 April 2006"
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/termstart>	"2006-04-11"^^xsd:date
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/termstart>	"12"^^xsd:integer
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/termstart>	"1993"^^xsd:integer
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/termstart>	"12 July 1993"
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/termstart>	"1993-07-12"^^xsd:date
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/termstart>	"21"^^xsd:integer
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/termstart>	"2011"^^xsd:integer
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/termstart>	"21 December 2011"
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/termstart>	"2011-12-21"^^xsd:date
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/termstart>	"21"^^xsd:integer
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/termstart>	"2010"^^xsd:integer
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/termstart>	"21 October 2010"
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/termstart>	"2010-10-21"^^xsd:date
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/termstart>	"24"^^xsd:integer
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/termstart>	"1992"^^xsd:integer
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/termstart>	"24 June 1992"
	<Alfredo_Pérez_Rubalcaba>	<infobox/en/termstart>	"1992-06-24"^^xsd:date
	<Congress_of_Deputies_(Spain)>	<infobox/en/backgroundcolor>	"800020"^^xsd:integer
	<Congress_of_Deputies_(Spain)>	<infobox/en/coares>	"200"^^<px>
	<Congress_of_Deputies_(Spain)>	<infobox/en/coares>	"200px"
	<Congress_of_Deputies_(Spain)>	<infobox/en/election>	"13"^^xsd:integer
	<Congress_of_Deputies_(Spain)>	<infobox/en/election>	"2011"^^xsd:integer
	<Congress_of_Deputies_(Spain)>	<infobox/en/election>	"13 December 2011"
	<Congress_of_Deputies_(Spain)>	<infobox/en/election>	"2011-12-13"^^xsd:date
	<Congress_of_Deputies_(Spain)>	<infobox/en/housetype>	<Lower_house>
	<Congress_of_Deputies_(Spain)>	<infobox/en/housetype>	"Lower house"
	<Congress_of_Deputies_(Spain)>	<infobox/en/lastelection>	<Spanish_general_election,_2011>
	<Congress_of_Deputies_(Spain)>	<infobox/en/lastelection>	"2011"^^xsd:integer
	<Congress_of_Deputies_(Spain)>	<infobox/en/lastelection>	"20"^^xsd:integer
	<Congress_of_Deputies_(Spain)>	<infobox/en/lastelection>	"20 November 2011"
	<Congress_of_Deputies_(Spain)>	<infobox/en/lastelection>	"2011-##-##"^^xsd:date
	<Congress_of_Deputies_(Spain)>	<infobox/en/lastelection>	"2011-11-20"^^xsd:date
	<Congress_of_Deputies_(Spain)>	<infobox/en/leader>	<Jesús_Posada>
	<Congress_of_Deputies_(Spain)>	<infobox/en/leader>	"Jesús Posada"
	<Congress_of_Deputies_(Spain)>	<infobox/en/leadertype>	<President_of_the_Congress_of_Deputies>
	<Congress_of_Deputies_(Spain)>	<infobox/en/leadertype>	"President"
	<Congress_of_Deputies_(Spain)>	<infobox/en/legislature>	<10th_Legislature_of_Spain>
	<Congress_of_Deputies_(Spain)>	<infobox/en/legislature>	"10"^^xsd:integer
	<Congress_of_Deputies_(Spain)>	<infobox/en/legislature>	"10th Legislature"
	<Congress_of_Deputies_(Spain)>	<infobox/en/meetingplace>	<Madrid>
	<Congress_of_Deputies_(Spain)>	<infobox/en/meetingplace>	<Community_of_Madrid>
	<Congress_of_Deputies_(Spain)>	<infobox/en/meetingplace>	<Kingdom_of_Spain>
	<Congress_of_Deputies_(Spain)>	<infobox/en/meetingplace>	"El Palacio del Congreso de los Diputados"
	<Congress_of_Deputies_(Spain)>	<infobox/en/meetingplace>	"Madrid"
	<Congress_of_Deputies_(Spain)>	<infobox/en/meetingplace>	"Community of Madrid"
	<Congress_of_Deputies_(Spain)>	<infobox/en/meetingplace>	"Kingdom of Spain"
	<Congress_of_Deputies_(Spain)>	<infobox/en/members>	"350"^^xsd:integer
	<Congress_of_Deputies_(Spain)>	<infobox/en/members>	"350"
	<Congress_of_Deputies_(Spain)>	<infobox/en/members>	"350-##-##"^^xsd:date
	<Congress_of_Deputies_(Spain)>	<infobox/en/name>	<The_Congress_of_Deputies>
	<Congress_of_Deputies_(Spain)>	<infobox/en/name>	"The Congress of Deputies"
	<Congress_of_Deputies_(Spain)>	<infobox/en/nativename>	<Congreso_de_los_Diputados>
	<Congress_of_Deputies_(Spain)>	<infobox/en/nativename>	"Congreso de los Diputados"
	<Congress_of_Deputies_(Spain)>	<infobox/en/politicalgroups>	<Government_of_Spain>
	<Congress_of_Deputies_(Spain)>	<infobox/en/politicalgroups>	<People's_Party_(Spain)>
	<Congress_of_Deputies_(Spain)>	<infobox/en/politicalgroups>	<Opposition_(parliamentary)>
	<Congress_of_Deputies_(Spain)>	<infobox/en/politicalgroups>	<Spanish_Socialist_Workers'_Party>
	<Congress_of_Deputies_(Spain)>	<infobox/en/politicalgroups>	<United_Left_(Spain)>
	<Congress_of_Deputies_(Spain)>	<infobox/en/politicalgroups>	<Basque_Nationalist_Party>
	<Congress_of_Deputies_(Spain)>	<infobox/en/politicalgroups>	"80"^^xsd:integer
	<Congress_of_Deputies_(Spain)>	<infobox/en/politicalgroups>	"185"^^xsd:integer
	<Congress_of_Deputies_(Spain)>	<infobox/en/politicalgroups>	"110"^^xsd:integer
	<Congress_of_Deputies_(Spain)>	<infobox/en/politicalgroups>	"16"^^xsd:integer
	<Congress_of_Deputies_(Spain)>	<infobox/en/politicalgroups>	"11"^^xsd:integer
	<Congress_of_Deputies_(Spain)>	<infobox/en/politicalgroups>	"5"^^xsd:integer
	<Congress_of_Deputies_(Spain)>	<infobox/en/politicalgroups>	"18"^^xsd:integer
	<Congress_of_Deputies_(Spain)>	<infobox/en/politicalgroups>	"Government party"
	<Congress_of_Deputies_(Spain)>	<infobox/en/politicalgroups>	"People's Party"
	<Congress_of_Deputies_(Spain)>	<infobox/en/politicalgroups>	"Opposition parties"
	<Congress_of_Deputies_(Spain)>	<infobox/en/politicalgroups>	"Socialist"
	<Congress_of_Deputies_(Spain)>	<infobox/en/politicalgroups>	"United Left"
	<Congress_of_Deputies_(Spain)>	<infobox/en/politicalgroups>	"UPyD"
	<Congress_of_Deputies_(Spain)>	<infobox/en/politicalgroups>	"185-##-##"^^xsd:date
	<Congress_of_Deputies_(Spain)>	<infobox/en/politicalgroups>	"110-##-##"^^xsd:date
	<Congress_of_Deputies_(Spain)>	<infobox/en/structure>	"2011"^^xsd:integer
	<Congress_of_Deputies_(Spain)>	<infobox/en/structure>	"2011-##-##"^^xsd:date
	<Congress_of_Deputies_(Spain)>	<infobox/en/structureres>	"260"^^<px>
	<Congress_of_Deputies_(Spain)>	<infobox/en/structureres>	"260px"
	<Congress_of_Deputies_(Spain)>	<infobox/en/votingsystem>	<Party_List>
	<Congress_of_Deputies_(Spain)>	<infobox/en/votingsystem>	<D'Hondt_method>
	<Congress_of_Deputies_(Spain)>	<infobox/en/votingsystem>	"List PR"
	<Congress_of_Deputies_(Spain)>	<infobox/en/votingsystem>	"D'Hondt method"
	<Congress_of_Deputies_(Spain)>	<infobox/en/website>	<http://www.congreso.es/>
	<Congress_of_Deputies_(Spain)>	<infobox/en/website>	<http://www.congreso.es>
	<Elena_Salgado>	<infobox/en/almamater>	<Technical_University_of_Madrid>
	<Elena_Salgado>	<infobox/en/almamater>	<Complutense_University_of_Madrid>
	<Elena_Salgado>	<infobox/en/almamater>	"Technical University of Madrid"
	<Elena_Salgado>	<infobox/en/almamater>	"Complutense University of Madrid"
